,uv,temp,drain_piezo,humidity,maxdailygust,soilmoisture2,solarradiation
354,0.0,17.388888888888886,0.0,63.0,16.560149759999998,30.0,0.0
355,0.0,17.388888888888886,0.0,64.0,16.560149759999998,30.0,0.0
356,0.0,17.388888888888886,0.0,64.0,16.560149759999998,30.0,0.0
357,0.0,17.388888888888886,0.0,65.0,16.560149759999998,30.0,0.0
358,0.0,17.388888888888886,0.0,64.0,16.560149759999998,30.0,0.0
359,0.0,17.388888888888886,0.0,64.0,16.560149759999998,30.0,0.0
360,0.0,17.27777777777778,0.0,64.0,16.560149759999998,30.0,0.0
361,0.0,17.27777777777778,0.0,64.0,16.560149759999998,30.0,0.0
362,0.0,17.27777777777778,0.0,64.0,16.560149759999998,30.0,0.0
363,0.0,17.27777777777778,0.0,64.0,16.560149759999998,30.0,0.0
364,0.0,17.27777777777778,0.0,64.0,16.560149759999998,30.0,0.0
365,0.0,17.22222222222222,0.0,65.0,16.560149759999998,30.0,0.0
366,0.0,17.22222222222222,0.0,65.0,16.560149759999998,30.0,0.0
367,0.0,17.22222222222222,0.0,65.0,16.560149759999998,30.0,0.0
368,0.0,17.22222222222222,0.0,65.0,16.560149759999998,30.0,0.0
